split,clase,nombre_original,nombre_local,motivo
test,Bell_pepper leaf,IMG_1629.JPG?1507122477.jpg,IMG_1629.JPG_1507122477.jpg,caracter_invalido_ntfs
test,Corn Gray leaf spot,"show_picture.asp?id=aaaaaaaaaaogcqq&w2=420&h2=378&clip=center,420,378&meta=0.jpg","show_picture.asp_id=aaaaaaaaaaogcqq&w2=420&h2=378&clip=center,420,378&meta=0.jpg",caracter_invalido_ntfs
test,Potato leaf late blight,1421_0.jpeg?itok=FMtmgePj.jpg,1421_0.jpeg_itok=FMtmgePj.jpg,caracter_invalido_ntfs
test,grape leaf,grape-leaf-picture-id119212425?k=6&m=119212425&s=612x612&w=0&h=8RZBWGcvXe4tAwhhvYZVFzWyRyiN5iTxKfWBpPT1FcU=.jpg,grape-leaf-picture-id119212425_k=6&m=119212425&s=612x612&w=0&h=8RZBWGcvXe4tAwhhvYZVFzWyRyiN5iTxKfWBpPT1FcU=.jpg,caracter_invalido_ntfs
test,grape leaf,latest?cb=20100621160325.jpg,latest_cb=20100621160325.jpg,caracter_invalido_ntfs
train,Apple Scab Leaf,01Apple-scab-2-Venturia-inaequalis.ashx?w=600&h=408&bc=ffffff.jpg,01Apple-scab-2-Venturia-inaequalis.ashx_w=600&h=408&bc=ffffff.jpg,caracter_invalido_ntfs
train,Apple Scab Leaf,6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg?1528657579.jpg,6A642AA3-1DB1-4413-B0B6-7FBB68A5904A_original.jpeg_1528657579.jpg,caracter_invalido_ntfs
train,Apple Scab Leaf,Apple_scab.jpg?t=1473441220256&width=300&height=200&name=Apple_scab.jpg,Apple_scab.jpg_t=1473441220256&width=300&height=200&name=Apple_scab.jpg,caracter_invalido_ntfs
train,Apple Scab Leaf,IMG_3166_1500x1500%253E.JPG?1473520197.jpg,IMG_3166_1500x1500%253E.JPG_1473520197.jpg,caracter_invalido_ntfs
train,Apple Scab Leaf,branch-with-ill-leaf-of-apple-scab-disease-picture-id928917010?k=6&m=928917010&s=612x612&w=0&h=UY6EBbnGkTzVcp4Tm8myYO7KoIOtrZo3VRDrd91qslo=.jpg,branch-with-ill-leaf-of-apple-scab-disease-picture-id928917010_k=6&m=928917010&s=612x612&w=0&h=UY6EBbnGkTzVcp4Tm8myYO7KoIOtrZo3_61a14260.jpg,ruta_demasiado_larga
